time,C,Phi,R_obs,R_theory,D_eff,sigma,stage
0.0,1.8233378627213062,1.1121420408145528,0.3474271134191733,1.6948542268383466,0.9673297431873724,0.474719734021975,Sleep stage W
15.0,1.86269234654622,1.1397442528311672,0.3278247278066227,1.6556494556132453,0.9871094930177389,0.42401958140907664,Sleep stage W
30.0,1.3439229249006408,0.9905292953121652,0.29869257140810557,1.5973851428162111,0.849370937770964,0.42313340355431517,Sleep stage W
45.0,1.395464782266822,0.9920454465878185,0.3256978026821685,1.651395605364337,0.8517971603943238,0.43246168706700405,Sleep stage W
60.0,1.827693051918679,1.1067324744922014,0.38326646935974606,1.7665329387194921,0.934843403013825,0.4357760448967257,Sleep stage W
75.0,1.9488033391769854,1.1535095107622046,0.38015583479679504,1.76031166959359,0.959748114079254,0.4205414356251195,Sleep stage W
90.0,2.151402152772479,1.5095971293647608,0.21257493503508132,1.4251498700701626,1.0,0.3818746624812578,Sleep stage W
105.0,2.110220795070733,1.508942216522642,0.19923843735174213,1.3984768747034844,1.0,0.3929992294650786,Sleep stage W
120.0,2.220527351694302,1.5117048157393878,0.23444475686485888,1.4688895137297178,1.0,0.4409796213988158,Sleep stage W
135.0,1.9885322089813013,1.3266801246220103,0.24943920997831404,1.498878419956628,1.0,0.4748559873124998,Sleep stage W
150.0,1.8472867852324322,1.2460560143522605,0.2412535086525426,1.4825070173050852,1.0,0.508689643059502,Sleep stage W
165.0,1.6925665610870069,1.0989050409800796,0.3106709048406162,1.6213418096812324,0.9499724463635916,0.4732820724245435,Sleep stage W
180.0,1.5638353696058827,1.055358201193332,0.31223678783899333,1.6244735756779867,0.9121756833700734,0.45745385374476644,Sleep stage W
195.0,1.572839271678369,1.052019763601735,0.33214918557813883,1.6642983711562778,0.8983162534266104,0.4873123184816973,Sleep stage W
210.0,1.5937041681512119,1.0394812644575635,0.37210138725210673,1.7442027745042135,0.87901051335419,0.48748900747982493,Sleep stage W
225.0,1.5085985836682645,1.0542928242868355,0.2913169492387914,1.582633898477583,0.9041322931757673,0.4237141579823914,Sleep stage W
240.0,1.6798472600520056,1.1638972459904713,0.22164757921669587,1.4432951584333917,1.0,0.4081278752898028,Sleep stage W
255.0,1.8590864453755613,1.1580048523910815,0.304587028644527,1.609174057289054,0.9976683223301416,0.41585704223391673,Sleep stage W
270.0,1.4659920776240132,0.9968944273394559,0.35122101867308364,1.7024420373461673,0.8637938756255533,0.42304894365456547,Sleep stage W
285.0,1.7928696875615122,1.0855962960787946,0.39395490419266344,1.7879098083853269,0.9237081272278633,0.49059821483408694,Sleep stage W
300.0,1.6566606618659037,1.0797570735685562,0.3689183699909463,1.7378367399818926,0.8828735937949385,0.5466683234499479,Sleep stage W
315.0,1.5766416323089512,1.0367237870824344,0.35160035163521147,1.703200703270423,0.8929026238330131,0.4738265622420666,Sleep stage W
330.0,1.8895258795806382,1.1366792390103904,0.3422374142608365,1.6844748285216729,0.9868482858271154,0.47512718022790557,Sleep stage W
345.0,1.7774532279045434,1.1344823104108912,0.3010518279867608,1.6021036559735216,0.977934666421645,0.43483931181474333,Sleep stage W
360.0,1.542294283730865,1.0166198094571652,0.3549805924676913,1.7099611849353826,0.8872018295321338,0.45761267850829374,Sleep stage W
375.0,1.3616417338029467,0.9495238036399944,0.3546762604345151,1.7093525208690301,0.8389292960732763,0.45726938667542677,Sleep stage W
390.0,1.2587589098080882,0.9278484326294425,0.3308586533176522,1.6617173066353044,0.8164101137277634,0.44592296212565197,Sleep stage W
405.0,1.3573378016518507,0.9636490389706104,0.3502350892750904,1.7004701785501808,0.8283235933134655,0.4710135121552846,Sleep stage W
420.0,1.405311656693065,1.0065794558333798,0.3469274799975937,1.6938549599951873,0.8242299021563674,0.4978462786084495,Sleep stage W
